iter	RMSE
0	49823.40799
1	47457.29042
2	45472.35765
3	43665.06697
4	42049.2669
5	40680.1175
6	39553.30519
7	38397.76724
8	37430.5644
9	36651.61872
10	35879.68691
11	35213.65303
12	34623.0531
13	34181.46818
14	33693.79627
15	33219.78604
16	32845.2722
17	32470.49999
18	32163.7685
19	31851.23939
20	31548.8649
21	31253.03604
22	30988.873
23	30715.6357
24	30501.38457
25	30326.85671
26	30150.02239
27	29984.49941
28	29796.59481
29	29678.23831
30	29560.43501
31	29369.3816
32	29221.14495
33	29078.08049
34	29055.08189
35	28887.63036
36	28779.07483
37	28684.8779
38	28508.27401
39	28441.89446
40	28334.35272
41	28169.77844
42	28104.85841
43	28033.32949
44	27961.10427
45	27866.10121
46	27797.68442
47	27719.13273
48	27636.59516
49	27528.25589
50	27397.35827
51	27319.05623
52	27212.87694
53	27130.84805
54	27016.94747
55	26852.29031
56	26779.4999
57	26738.35984
58	26618.78992
59	26562.43812
60	26495.44614
61	26455.05141
62	26402.68934
63	26357.6193
64	26302.54269
65	26248.03002
66	26193.76937
67	26128.67257
68	26050.83307
69	25977.69358
70	25836.1758
71	25734.06996
72	25673.53574
73	25586.24782
74	25487.12285
75	25440.01675
76	25323.13052
77	25237.08661
78	25163.59832
79	25105.72759
80	24996.13906
81	24905.21574
82	24850.46603
83	24763.36089
84	24696.3679
85	24610.09035
86	24570.09745
87	24480.27706
88	24376.89612
89	24305.74179
90	24267.68182
91	24173.86539
92	24079.77738
93	24017.0758
94	23978.71599
95	23873.86919
96	23820.45703
97	23724.28093
98	23640.80142
99	23555.00501
100	23517.05923
101	23412.87904
102	23354.38966
103	23308.88489
104	23249.95709
105	23189.86365
106	23161.24074
107	23088.07237
108	23021.22622
109	22964.03346
110	22875.53523
111	22827.72839
112	22801.19834
113	22726.36073
114	22661.94506
115	22583.89401
116	22551.56306
117	22429.22243
118	22341.00552
119	22274.69053
120	22206.20376
121	22180.28874
122	22117.63121
123	22097.53836
124	22031.49737
125	21968.56661
126	21902.79487
127	21844.90745
128	21819.29972
129	21769.91636
130	21721.19893
131	21691.01935
132	21668.71695
133	21639.90298
134	21574.37768
135	21540.53845
136	21446.37478
137	21361.96043
138	21330.70512
139	21286.72353
140	21219.08081
141	21170.35131
142	21144.86434
143	21094.55596
144	21037.77946
145	20984.42819
146	20951.55023
147	20911.55921
148	20861.4486
149	20830.30891
150	20777.56201
151	20729.64535
152	20684.85322
153	20646.78905
154	20603.33129
155	20560.15462
156	20538.08705
157	20495.56801
158	20446.36018
159	20381.4353
160	20363.76642
161	20337.19382
162	20329.00257
163	20279.84023
164	20259.59234
165	20204.32048
166	20109.81883
167	20059.42373
168	19973.82454
169	19917.77467
170	19881.12202
171	19817.75575
172	19767.82092
173	19750.90579
174	19728.58335
175	19696.82683
176	19657.88621
177	19613.3928
178	19575.5289
179	19547.19732
180	19513.51075
181	19503.62188
182	19413.06247
183	19397.92405
184	19380.88248
185	19329.38726
186	19299.50141
187	19262.71696
188	19255.73873
189	19242.0423
190	19188.02415
191	19164.47168
192	19137.08265
193	19115.924
194	19079.73951
195	19067.74446
196	19055.55116
197	19023.34504
198	18968.31651
199	18936.03483
200	18900.22728
201	18868.92226
202	18857.31859
203	18821.31782
204	18807.01566
205	18791.09812
206	18764.22785
207	18747.27464
208	18677.33017
209	18666.81742
210	18612.03424
211	18598.35357
212	18564.24483
213	18529.42997
214	18522.84004
215	18513.12513
216	18459.98063
217	18421.72077
218	18415.30033
219	18401.61235
220	18388.28521
221	18354.92466
222	18305.70447
223	18257.23271
224	18204.95001
225	18144.65341
226	18125.40415
227	18055.1708
228	18026.60155
229	18006.43246
230	17971.95485
