iter	Passed	Remaining
0	3	2805
1	6	2666
2	9	2635
3	12	2531
4	15	2505
5	18	2486
6	22	2590
7	25	2553
8	28	2544
9	31	2509
10	34	2481
11	37	2465
12	40	2444
13	43	2428
14	46	2413
15	49	2410
16	52	2396
17	54	2380
18	57	2364
19	60	2355
20	63	2349
21	66	2344
22	69	2346
23	72	2342
24	75	2338
25	78	2334
26	81	2332
27	84	2330
28	87	2332
29	90	2326
30	93	2321
31	96	2315
32	99	2309
33	102	2304
34	103	2251
35	106	2249
36	108	2246
37	111	2243
38	114	2238
39	117	2233
40	120	2231
41	123	2230
42	127	2236
43	130	2235
44	133	2244
45	136	2242
46	139	2240
47	142	2238
48	145	2235
49	148	2231
50	151	2229
51	154	2225
52	158	2228
53	161	2229
54	164	2230
55	167	2227
56	170	2224
57	173	2222
58	176	2218
59	179	2214
60	182	2213
61	185	2209
62	189	2212
63	192	2208
64	194	2202
65	197	2196
66	200	2191
67	203	2185
68	205	2180
69	209	2182
70	212	2177
71	215	2177
72	218	2179
73	222	2178
74	225	2178
75	228	2177
76	232	2179
77	235	2176
78	238	2173
79	241	2170
80	244	2169
81	247	2166
82	250	2163
83	253	2160
84	256	2158
85	259	2154
86	262	2152
87	265	2148
88	268	2148
89	273	2154
90	276	2153
91	279	2154
92	283	2155
93	287	2161
94	290	2157
95	293	2154
96	297	2152
97	300	2151
98	303	2148
99	306	2144
100	309	2144
101	313	2142
102	316	2138
103	319	2136
104	322	2132
105	325	2130
106	328	2126
107	331	2122
108	334	2118
109	337	2116
110	340	2111
111	344	2117
112	347	2114
113	351	2112
114	354	2109
115	357	2107
116	360	2105
117	363	2101
118	366	2098
119	369	2095
120	373	2093
121	376	2091
122	379	2087
123	382	2083
124	385	2080
125	388	2076
126	391	2072
127	393	2067
128	396	2064
129	399	2060
130	402	2056
131	405	2054
132	408	2050
133	411	2047
134	415	2045
135	418	2042
136	421	2038
137	424	2035
138	427	2032
139	430	2028
140	433	2025
141	436	2024
142	439	2020
143	442	2016
144	446	2015
145	449	2013
146	452	2011
147	457	2013
148	460	2011
149	464	2010
150	467	2008
151	470	2006
152	474	2004
153	477	2003
154	480	2001
155	484	1998
156	487	1994
157	490	1992
158	493	1990
159	496	1986
160	499	1982
161	502	1979
162	505	1975
163	508	1970
164	511	1967
165	514	1964
166	517	1960
167	520	1957
168	523	1953
169	525	1949
170	529	1945
171	532	1943
172	535	1940
173	538	1937
174	541	1934
175	544	1930
176	547	1927
177	550	1923
178	553	1920
179	556	1916
180	559	1912
181	562	1908
182	565	1905
183	568	1901
184	570	1898
185	573	1894
186	576	1890
187	579	1887
188	582	1883
189	585	1879
190	588	1875
191	591	1871
192	593	1867
193	596	1864
194	599	1860
195	602	1856
196	605	1852
197	608	1849
198	611	1845
199	614	1842
200	617	1838
201	619	1834
202	622	1831
203	625	1827
204	628	1823
205	631	1819
206	633	1816
207	636	1812
208	639	1808
209	642	1804
210	645	1801
211	648	1798
212	651	1794
213	653	1790
214	656	1787
215	659	1783
216	662	1779
217	665	1776
218	668	1774
219	671	1771
220	674	1768
221	677	1764
222	680	1761
223	684	1760
224	688	1758
225	691	1756
226	694	1754
227	697	1750
228	701	1748
229	704	1746
230	708	1746
231	712	1744
232	715	1742
233	719	1741
234	723	1739
235	727	1739
236	731	1737
237	735	1735
238	738	1733
239	741	1731
240	745	1728
241	748	1726
242	752	1724
243	755	1721
244	759	1720
245	763	1718
246	767	1718
247	772	1718
248	777	1719
249	781	1719
250	785	1718
251	788	1715
252	792	1713
253	796	1711
254	800	1710
255	803	1708
256	807	1705
257	810	1702
258	813	1700
259	817	1698
260	821	1696
261	824	1694
262	828	1691
263	832	1690
264	836	1687
265	839	1685
266	842	1682
267	846	1679
268	850	1678
269	853	1675
270	856	1672
271	860	1669
272	863	1667
273	867	1665
274	871	1664
275	875	1661
276	878	1659
277	882	1656
278	885	1654
279	889	1652
280	893	1650
281	896	1647
282	899	1643
283	903	1640
284	906	1637
285	909	1634
286	912	1631
287	916	1628
288	919	1626
289	923	1624
290	927	1622
291	931	1620
292	935	1618
293	938	1614
294	941	1612
295	945	1609
296	948	1606
297	952	1603
298	955	1600
299	958	1597
300	961	1593
301	965	1591
302	968	1588
303	971	1585
304	974	1582
305	977	1578
306	981	1575
307	985	1574
308	988	1571
309	992	1568
310	995	1565
311	999	1562
312	1002	1559
313	1005	1556
314	1009	1554
315	1012	1551
316	1016	1548
317	1019	1545
318	1023	1543
319	1027	1540
320	1030	1537
321	1034	1535
322	1037	1532
323	1041	1530
324	1044	1527
325	1048	1524
326	1051	1521
327	1054	1518
328	1058	1515
329	1061	1512
330	1065	1510
331	1069	1507
332	1072	1504
333	1076	1501
334	1079	1498
335	1082	1495
336	1085	1491
337	1089	1488
338	1092	1485
339	1095	1482
340	1098	1479
341	1102	1475
342	1106	1473
343	1109	1470
344	1113	1468
345	1116	1464
346	1119	1461
347	1122	1458
348	1125	1454
349	1129	1451
350	1132	1448
351	1135	1444
352	1138	1441
353	1141	1437
354	1144	1434
355	1147	1431
356	1151	1428
357	1154	1425
358	1157	1422
359	1160	1418
360	1163	1415
361	1167	1412
362	1170	1408
363	1173	1405
364	1176	1402
365	1180	1399
366	1183	1396
367	1186	1393
368	1190	1390
369	1193	1386
370	1196	1383
371	1199	1380
372	1202	1376
373	1205	1373
374	1209	1370
375	1212	1367
376	1215	1363
377	1218	1360
378	1222	1358
379	1226	1355
380	1229	1351
381	1232	1348
382	1236	1346
383	1239	1343
384	1243	1339
385	1246	1336
386	1249	1333
387	1252	1330
388	1255	1326
389	1259	1323
390	1262	1320
391	1266	1317
392	1269	1314
393	1272	1311
394	1275	1308
395	1278	1304
396	1283	1302
397	1286	1299
398	1289	1296
399	1292	1292
400	1295	1289
401	1299	1286
402	1302	1282
403	1305	1279
404	1308	1276
405	1311	1272
406	1314	1269
407	1317	1266
408	1321	1262
409	1324	1259
410	1327	1256
411	1330	1253
412	1333	1249
413	1336	1246
414	1339	1242
415	1342	1239
416	1345	1235
417	1348	1232
418	1351	1228
419	1354	1225
420	1356	1221
421	1359	1218
422	1362	1214
423	1365	1210
424	1368	1207
425	1371	1204
426	1374	1200
427	1377	1197
428	1380	1194
429	1384	1191
430	1387	1187
431	1390	1184
432	1393	1181
433	1396	1178
434	1399	1174
435	1402	1171
436	1405	1167
437	1408	1164
438	1411	1160
439	1414	1157
440	1417	1154
441	1420	1150
442	1423	1147
443	1426	1144
444	1429	1140
445	1432	1137
446	1435	1133
447	1438	1130
448	1442	1127
449	1444	1123
450	1448	1120
451	1451	1117
452	1454	1113
453	1457	1110
454	1460	1107
455	1463	1103
456	1466	1100
457	1469	1097
458	1472	1094
459	1476	1091
460	1478	1087
461	1482	1084
462	1485	1081
463	1488	1077
464	1491	1074
465	1494	1071
466	1497	1068
467	1500	1064
468	1503	1061
469	1506	1057
470	1509	1054
471	1512	1051
472	1515	1047
473	1518	1044
474	1521	1041
475	1524	1037
476	1528	1034
477	1530	1031
478	1533	1027
479	1537	1024
480	1540	1021
481	1543	1018
482	1546	1015
483	1549	1011
484	1553	1008
485	1556	1005
486	1559	1002
487	1562	998
488	1565	995
489	1569	992
490	1572	989
491	1575	986
492	1578	983
493	1581	979
494	1584	976
495	1587	973
496	1590	969
497	1593	966
498	1597	963
499	1600	960
500	1603	957
501	1606	953
502	1609	950
503	1612	947
504	1616	944
505	1619	940
506	1622	937
507	1625	934
508	1628	931
509	1631	927
510	1634	924
511	1637	921
512	1640	917
513	1643	914
514	1647	911
515	1650	908
516	1653	905
517	1656	901
518	1659	898
519	1662	895
520	1665	892
521	1668	888
522	1671	885
523	1674	882
524	1677	878
525	1681	875
526	1684	872
527	1687	869
528	1690	865
529	1693	862
530	1696	859
531	1699	856
532	1702	852
533	1705	849
534	1709	846
535	1712	843
536	1715	840
537	1718	836
538	1721	833
539	1724	830
540	1727	827
541	1730	823
542	1733	820
543	1737	817
544	1740	814
545	1742	810
546	1746	807
547	1749	804
548	1752	801
549	1755	797
550	1758	794
551	1761	791
552	1764	788
553	1768	785
554	1771	781
555	1774	778
556	1777	775
557	1780	772
558	1783	769
559	1787	766
560	1790	762
561	1793	759
562	1797	756
563	1800	753
564	1803	750
565	1806	746
566	1810	743
567	1813	740
568	1816	737
569	1819	734
570	1822	730
571	1825	727
572	1828	724
573	1832	721
574	1835	718
575	1838	714
576	1841	711
577	1844	708
578	1847	705
579	1850	701
580	1853	698
581	1856	695
582	1859	692
583	1862	688
584	1866	685
585	1869	682
586	1872	679
587	1875	676
588	1879	673
589	1883	670
590	1886	667
591	1890	664
592	1893	661
593	1897	658
594	1901	655
595	1906	652
596	1910	649
597	1914	646
598	1917	643
599	1922	640
600	1926	637
601	1929	634
602	1933	631
603	1937	628
604	1940	625
605	1944	622
606	1947	619
607	1951	616
608	1954	613
609	1958	609
610	1962	606
611	1965	603
612	1969	600
613	1973	597
614	1977	594
615	1980	591
616	1983	588
617	1986	585
618	1989	581
619	1992	578
620	1996	575
621	1999	572
622	2002	569
623	2006	565
624	2009	562
625	2013	559
626	2016	556
627	2020	553
628	2023	550
629	2027	547
630	2030	543
631	2034	540
632	2038	537
633	2042	534
634	2045	531
635	2049	528
636	2052	525
637	2056	522
638	2059	518
639	2062	515
640	2065	512
641	2068	509
642	2072	506
643	2076	502
644	2079	499
645	2082	496
646	2085	493
647	2090	490
648	2094	487
649	2098	484
650	2103	481
651	2107	478
652	2112	475
653	2115	472
654	2119	469
655	2122	466
656	2126	462
657	2131	459
658	2135	456
659	2139	453
660	2142	450
661	2146	447
662	2149	444
663	2153	441
664	2157	437
665	2161	434
666	2166	431
667	2170	428
668	2174	425
669	2177	422
670	2181	419
671	2185	416
672	2188	413
673	2192	409
674	2195	406
675	2198	403
676	2202	400
677	2205	396
678	2209	393
679	2213	390
680	2217	387
681	2220	384
682	2224	381
683	2228	377
684	2231	374
685	2234	371
686	2238	368
